segment,timeline,survival_prob,ci_lower,ci_upper
36_A,0.0,1.0,1.0,1.0
36_A,1.0,0.9991786734702794,0.9990525229646675,0.9992880338284063
36_A,2.0,0.9982961843266426,0.9981185778383768,0.9984570377017767
36_A,3.0,0.9970729320483347,0.9968430510719936,0.9972860964727569
36_A,4.0,0.9955613417329977,0.9952805098514559,0.9958254978617376
36_A,5.0,0.9939317949479677,0.9936051816865644,0.9942417749222133
36_A,6.0,0.9919702225445385,0.991596188282561,0.9923276738828126
36_A,7.0,0.9900086501411105,0.9895928377197781,0.9904079296420093
36_A,8.0,0.9877631084587896,0.9873043810241926,0.988205360002526
36_A,9.0,0.9854695104369635,0.9849709938069059,0.9859516093034815
36_A,10.0,0.9831977562058204,0.9826629530885455,0.9837161990666224
36_A,11.0,0.9809041581839946,0.9803352564742492,0.9814567576595881
36_A,12.0,0.9784707599017906,0.9778679803629784,0.9790572987428445
36_A,13.0,0.9762164807031943,0.9755840999192642,0.9768326777860514
36_A,14.0,0.9738529825511792,0.9731911465415077,0.9744986946146215
36_A,15.0,0.9715593845293531,0.9708703151661895,0.9722323879352579
36_A,16.0,0.9694623806236832,0.9687494436918778,0.9701593046206451
36_A,17.0,0.9672692640390033,0.9665323111597375,0.9679902594420522
36_A,18.0,0.965049934905504,0.964289569876086,0.9657943985880006
36_A,19.0,0.9630315686462962,0.9622506211323545,0.9637966658679077
36_A,20.0,0.9611879527125609,0.9603887490739886,0.9619713527002858
36_A,21.0,0.959217642792859,0.9583994619492867,0.9600200698404265
36_A,22.0,0.9573740268591239,0.9565385553476146,0.9581937912317481
36_A,23.0,0.9556046798137161,0.9547530117288152,0.9564406855448989
36_A,24.0,0.9537523263637079,0.952884094782902,0.9546049424852404
36_A,25.0,0.9519786105601621,0.9510948745647747,0.952846776008045
36_A,26.0,0.9504932327936453,0.9495967671936043,0.9513741654632772
36_A,27.0,0.9489685362038974,0.9480592342177876,0.9498623438784793
36_A,28.0,0.9475443210512973,0.9466232306465614,0.9484499532239123
36_A,29.0,0.9462118498195695,0.9452799002673099,0.9471283748999527
36_A,30.0,0.9450890789784085,0.9441481024322567,0.9460146595036115
36_A,31.0,0.9440405770255734,0.9430912692733356,0.9449745153289639
36_A,32.0,0.9430095501052864,0.9420521404334177,0.9439516164605231
36_A,33.0,0.9422624924638913,0.941299267055013,0.9432103934927796
36_A,34.0,0.9415722286782752,0.9406036697167014,0.9425254807582693
36_A,35.0,0.941087296525089,0.9401150132253411,0.9420442852372494
36_A,36.0,0.9408382773112915,0.939864088695587,0.9417971776527982
36_B,0.0,1.0,1.0,1.0
36_B,1.0,0.9985576338243571,0.9984253283089687,0.9986788302521488
36_B,2.0,0.996689508958312,0.9964922649433343,0.9968756791085512
36_B,3.0,0.9940335856991428,0.9937711143298236,0.9942850289388694
36_B,4.0,0.9907694357394019,0.990444900942573,0.9910829975399749
36_B,5.0,0.9866363904931275,0.9862478763412668,0.9870140010583819
36_B,6.0,0.9822629508842469,0.9818172154206625,0.9826978560677978
36_B,7.0,0.9775014047140481,0.9770013305506817,0.9779907283665957
36_B,8.0,0.9724270562406965,0.9718755029216203,0.9729679440595782
36_B,9.0,0.967112313404738,0.9665121191670673,0.9677019312056435
36_B,10.0,0.9620147943904135,0.9613718905199861,0.9626472072831522
36_B,11.0,0.9564017308394109,0.9557153835786115,0.9570776812723241
36_B,12.0,0.9506090955958599,0.9498811601298243,0.9513267314529982
36_B,13.0,0.9453667607004461,0.9446035799918104,0.9461197298361533
36_B,14.0,0.9399564393829695,0.939158933845401,0.9407438242590959
36_B,15.0,0.9348154756043178,0.9339870481879449,0.9356338687971965
36_B,16.0,0.9298511872005943,0.928994295186003,0.9306981285086725
36_B,17.0,0.9248463503501649,0.9239620113945934,0.9257208228484757
36_B,18.0,0.9198849582640635,0.9189745373615033,0.9207855962776293
36_B,19.0,0.9154043549031764,0.9144712644860157,0.9163277379449396
36_B,20.0,0.9111902127634929,0.9102365114371329,0.9121342777754254
36_B,21.0,0.9069442111299703,0.9059703939894713,0.9079084635920129
36_B,22.0,0.9030544565639245,0.9020627507253143,0.9040366633832294
36_B,23.0,0.899329792102322,0.8983214138366123,0.9003287342514769
36_B,24.0,0.8957615287922943,0.8947375768972042,0.8967761048602833
36_B,25.0,0.8925524088673669,0.8915147692234813,0.8935807269290997
36_B,26.0,0.8894070079301182,0.8883562330571372,0.8904485144106458
36_B,27.0,0.8866178540603485,0.8855556557253309,0.8876708311865367
36_B,28.0,0.8841907398933004,0.8831187667651085,0.8852535328856977
36_B,29.0,0.8818186557610663,0.880737274369388,0.8828908971713585
36_B,30.0,0.879663795450465,0.8785739883624264,0.8807444990452464
36_B,31.0,0.8778535969368552,0.876756798818468,0.878941322222
36_B,32.0,0.8762577259272563,0.8751548291162298,0.8773515769410081
36_B,33.0,0.8748645971511823,0.87375642509898,0.8759637470120667
36_B,34.0,0.8737292406434469,0.8726168025084804,0.8748326758284527
36_B,35.0,0.8728690343097797,0.8717533835140798,0.8739756967357324
36_B,36.0,0.8724490682546222,0.8713318550613263,0.8735573001970657
36_C,0.0,1.0,1.0,1.0
36_C,1.0,0.9974413368653493,0.9972460203488198,0.997622817746489
36_C,2.0,0.9938310198151844,0.9935322906759052,0.994115992211559
36_C,3.0,0.988431806929352,0.988026485755434,0.9888234851206741
36_C,4.0,0.9817279649593258,0.981222123454562,0.9822203038261623
36_C,5.0,0.973972469073787,0.9733725137599024,0.9745590839167952
36_C,6.0,0.9656026049214523,0.9649169339930088,0.9662751104224631
36_C,7.0,0.9567412461556813,0.9559767155677229,0.957492796761442
36_C,8.0,0.9475329500157209,0.946695760042289,0.9483573528842058
36_C,9.0,0.9380644508451181,0.9371600300040195,0.9389562831103978
36_C,10.0,0.928433324780364,0.9274666704406129,0.9293875927048516
36_C,11.0,0.9188744773352331,0.9178510724800243,0.9198856966476339
36_C,12.0,0.9090518129284781,0.9079744587339617,0.910117188240914
36_C,13.0,0.8994315286566656,0.8983050165137182,0.9005462645660012
36_C,14.0,0.8907653221638785,0.8895972579886743,0.8919217928689042
36_C,15.0,0.8823846162186003,0.8811785672730661,0.8835792486312657
36_C,16.0,0.8743038665447567,0.8730630498778468,0.8755334374676761
36_C,17.0,0.8666025796239356,0.8653301853455717,0.8678638910981881
36_C,18.0,0.8593205086969262,0.8580195514185129,0.860610537397319
36_C,19.0,0.8526817174845597,0.8513557470828501,0.8539969000441069
36_C,20.0,0.8464115472322717,0.8450628006334822,0.8477496390289236
36_C,21.0,0.8406148019385132,0.8392456950724396,0.8419733771010288
36_C,22.0,0.8350204367796993,0.8336322862066408,0.8363981745455367
36_C,23.0,0.8300440538186611,0.8286394432257796,0.8314383574463631
36_C,24.0,0.8252519813376618,0.8238319321102862,0.8266618255933368
36_C,25.0,0.8208176880237941,0.8193837011202943,0.8222415643972298
36_C,26.0,0.8167303320841183,0.815283785865659,0.818166854879203
36_C,27.0,0.8131344707578786,0.81167709791864,0.8145818968493262
36_C,28.0,0.8099144582536763,0.8084475631591924,0.8113714752962229
36_C,29.0,0.806889598022457,0.8054139035005712,0.8083554790548415
36_C,30.0,0.8042947955779942,0.8028116632057412,0.8057681698673168
36_C,31.0,0.8020397026457601,0.8005501878111484,0.8035195075677617
36_C,32.0,0.799907483366884,0.798412002723711,0.8013932996581671
36_C,33.0,0.7981800243578949,0.7966797589358073,0.7996706623507773
36_C,34.0,0.7967163823105305,0.7952120965044421,0.7982110719788547
36_C,35.0,0.795585221913433,0.7940778499837993,0.7970830218933385
36_C,36.0,0.7950033790254681,0.7934944267506162,0.7965027717939859
36_D,0.0,1.0,1.0,1.0
36_D,1.0,0.9953345542959992,0.9949438292232821,0.9956951507154768
36_D,2.0,0.9886718873346175,0.988073946766188,0.9892400122501208
36_D,3.0,0.9796015030471444,0.9788081830868789,0.9803654236850309
36_D,4.0,0.9687312513814768,0.9677582356795487,0.9696753649716587
36_D,5.0,0.9564242634753227,0.95528576768114,0.9575344200554781
36_D,6.0,0.9436436262591188,0.9423597344822833,0.9448997639299859
36_D,7.0,0.9302156683191768,0.9287989735679761,0.9316052245205992
36_D,8.0,0.9172850421547895,0.9157548416706858,0.9187886977265548
36_D,9.0,0.9042991569042289,0.9026661229002013,0.905906243091891
36_D,10.0,0.8909659288262967,0.8892368322362544,0.8926696916674657
36_D,11.0,0.877735324765544,0.8759189301592395,0.8795269959993675
36_D,12.0,0.8655230667214004,0.8636322166306011,0.8673897577775089
36_D,13.0,0.8533344911427588,0.8513744969997838,0.8552708904188708
36_D,14.0,0.8422037323565641,0.8401846491082071,0.8441997367688723
36_D,15.0,0.8317597650699425,0.8296884496892722,0.8338084865377151
36_D,16.0,0.821615775679687,0.8194964793113724,0.8237129498228254
36_D,17.0,0.8126953803403966,0.8105359841112971,0.8148330697107252
36_D,18.0,0.8042012693801507,0.8020054065508201,0.8063758213766443
36_D,19.0,0.7963781616091442,0.7941501217305044,0.7985852558426311
36_D,20.0,0.7895260349237425,0.78727087403556,0.7917605703853174
36_D,21.0,0.782689696548676,0.7804084284249992,0.7849506590632417
36_D,22.0,0.7758454640184406,0.7735389776535598,0.7781319653025339
36_D,23.0,0.7696090814361052,0.7672803917764597,0.7719180783779894
36_D,24.0,0.7639016072499918,0.7615532265390343,0.7662305630659372
36_D,25.0,0.759133537528814,0.7567691563766136,0.7614787177162555
36_D,26.0,0.7544759859799809,0.7520963619020209,0.7568366280007884
36_D,27.0,0.7506867914995738,0.7482950431284795,0.7530597360312625
36_D,28.0,0.7471659982948626,0.7447632033692599,0.749550155075103
36_D,29.0,0.743763617417664,0.7413503450113318,0.7461584118922491
36_D,30.0,0.7407717326091768,0.7383494052268619,0.7431757230190675
36_D,31.0,0.7382534971107393,0.7358236618555232,0.7406651140924351
36_D,32.0,0.7360747102845062,0.7336384621730153,0.7384928428620244
36_D,33.0,0.734266948751145,0.7318254378015351,0.7366904294396946
36_D,34.0,0.7327749534244848,0.7303291382526833,0.7352028087331026
36_D,35.0,0.731630300925195,0.7291812075625947,0.7340614884457368
36_D,36.0,0.7311013925289718,0.7286507914258583,0.7335341127550902
36_E-G,0.0,1.0,1.0,1.0
36_E-G,1.0,0.9904238068107097,0.9894874878351652,0.9912770985793945
36_E-G,2.0,0.9797300258579125,0.9783954086583685,0.9809830009214335
36_E-G,3.0,0.9653109523600817,0.9635915084211054,0.9669505925925899
36_E-G,4.0,0.9490292325897354,0.9469719753174984,0.9510087575353718
36_E-G,5.0,0.9308410395757545,0.9284750499440809,0.9331316125386868
36_E-G,6.0,0.9130034623307169,0.9103808078829638,0.915552974910144
36_E-G,7.0,0.8951658850856807,0.8923195469111987,0.8979413607145628
36_E-G,8.0,0.8771968269272898,0.8741510095796289,0.8801740828449547
36_E-G,9.0,0.8597756059078754,0.8565565371698741,0.8629283492388035
36_E-G,10.0,0.8424858658018141,0.8391113655876611,0.8457962649089874
36_E-G,11.0,0.8260288381469946,0.8225196344204463,0.8294760628933395
36_E-G,12.0,0.8094841565499403,0.8058510499171985,0.813057422677216
36_E-G,13.0,0.7950212560809916,0.7912883792024726,0.7986961661289087
36_E-G,14.0,0.7816759433755526,0.7778574962992899,0.7854381561609973
36_E-G,15.0,0.7692290835780339,0.7653360622884141,0.7730674897191802
36_E-G,16.0,0.7584038217118814,0.7544498173929485,0.7623046216889184
36_E-G,17.0,0.7478196081868772,0.7438092955703329,0.7517780982547112
36_E-G,18.0,0.7387474251654463,0.7346913519843064,0.7427528621217749
36_E-G,19.0,0.7303764736819033,0.7262801547528654,0.734423252624594
36_E-G,20.0,0.7220712626550378,0.7179368327061312,0.726157241802819
36_E-G,21.0,0.714949379848358,0.7107836730493601,0.7190675710993686
36_E-G,22.0,0.7084629881228897,0.7042698969027249,0.7126094166191851
36_E-G,23.0,0.701779375027392,0.6975591424941394,0.7059538246278614
36_E-G,24.0,0.6954244642152779,0.6911794185031522,0.6996245645068987
36_E-G,25.0,0.6900337467677607,0.6857683985844533,0.6942548607384884
36_E-G,26.0,0.6852127799447775,0.6809298464132745,0.689452115906572
36_E-G,27.0,0.6806766884340617,0.6763776949619863,0.6849326838853289
36_E-G,28.0,0.6762063373800234,0.6718919726334718,0.6804782954695281
36_E-G,29.0,0.6731165359162022,0.6687918088114324,0.6773992653957109
36_E-G,30.0,0.6701582153657352,0.6658237657870267,0.674451059173173
36_E-G,31.0,0.6671341543585919,0.6627899659805842,0.6714371377591222
36_E-G,32.0,0.6645483630626287,0.6601960064133957,0.6688598576293112
36_E-G,33.0,0.662751457246789,0.6583935102452101,0.667068780550937
36_E-G,34.0,0.6611517728009809,0.6567889080312307,0.6654742261650386
36_E-G,35.0,0.6602971468641797,0.655931677503186,0.6646223182630512
36_E-G,36.0,0.6596178288118499,0.6552503003914002,0.663945149456935
60_A,0.0,1.0,1.0,1.0
60_A,1.0,0.9985691573926866,0.9972518578769245,0.9992552558309765
60_A,2.0,0.9965023847376784,0.99469293334421,0.997695615747882
60_A,3.0,0.9945945945945943,0.992443188301194,0.9961346933131188
60_A,4.0,0.9922098569157395,0.9897056707015927,0.9941066917200891
60_A,5.0,0.9901430842607318,0.9873748257304122,0.9923067261829809
60_A,6.0,0.9868044515103332,0.9836631243442389,0.989345024069017
60_A,7.0,0.982670906200318,0.979129837762334,0.985615575466352
60_A,8.0,0.9793322734499206,0.9755036136074404,0.9825678887014444
60_A,9.0,0.9771065182829894,0.9730996245897597,0.9805225573602635
60_A,10.0,0.9742448330683618,0.9700218980162844,0.9778796927450797
60_A,11.0,0.9707472178060421,0.9662771695435974,0.9746325485679777
60_A,12.0,0.967567567567567,0.9628865463675284,0.9716668979624324
60_A,13.0,0.9647058823529421,0.9598445652338882,0.9689882175481763
60_A,14.0,0.9618441971383156,0.9568105782531117,0.9663015321914894
60_A,15.0,0.9578696343402229,0.9526084087148243,0.9625583100493506
60_A,16.0,0.954054054054055,0.9485856143467193,0.9589535174974846
60_A,17.0,0.9516693163751981,0.9460763909523273,0.9566954949572261
60_A,18.0,0.9480127186009545,0.9422357107353787,0.9532263933338043
60_A,19.0,0.9451510333863286,0.9392352395231311,0.9505061625323595
60_A,20.0,0.9422893481717007,0.9362390336210881,0.947781664232092
60_A,21.0,0.9399046104928459,0.9337452401868797,0.9455082028146025
60_A,22.0,0.936248012718601,0.9299264348793066,0.9420172154766145
60_A,23.0,0.9337042925278228,0.9272732290579329,0.939585347107398
60_A,24.0,0.9310015898251203,0.9244570269759809,0.9369986571494215
60_A,25.0,0.9281399046104926,0.9214781720359017,0.9342568022662264
60_A,26.0,0.925119236883943,0.9183369966376621,0.9313594501516158
60_A,27.0,0.9228934817170119,0.9160244271376113,0.9292225781185809
60_A,28.0,0.9193958664546906,0.9123936112215316,0.9258614142945801
60_A,29.0,0.9170111287758353,0.9099202093308235,0.9235675572349246
60_A,30.0,0.9133545310015894,0.9061308775278305,0.9200470920761992
60_A,31.0,0.9104928457869634,0.9031679047849795,0.9172893543388243
60_A,32.0,0.9092209856915736,0.9018517295114749,0.9160629916964952
60_A,33.0,0.9082670906200317,0.9008648742043422,0.9151429436027427
60_A,34.0,0.9055643879173296,0.8980700389927545,0.9125348860357714
60_A,35.0,0.9041335453100154,0.896591153214166,0.9111534169414087
60_A,36.0,0.902861685214626,0.8952770032907813,0.9099250292818005
60_A,37.0,0.9020667726550075,0.8944558548503557,0.9091570917742383
60_A,38.0,0.9014308426073141,0.8937990429150374,0.9085426349750205
60_A,39.0,0.9004769475357706,0.8928140011321475,0.907620773697176
60_A,40.0,0.8998410174880761,0.8921574228584535,0.9070060832919019
60_A,41.0,0.8987281399046104,0.8910086319895145,0.9059301540287215
60_A,42.0,0.8980922098569163,0.8903523050952186,0.905315212309026
60_A,43.0,0.8976152623211441,0.8898601190214521,0.9048539469384002
60_A,44.0,0.8968203497615271,0.8890399205394592,0.9040850597110351
60_A,45.0,0.8966613672496024,0.8888758974864622,0.9039312656269194
60_A,46.0,0.8960254372019086,0.8882198603766545,0.9033160342044037
60_A,47.0,0.8955484896661362,0.8877278900897476,0.9028545531091915
60_A,48.0,0.8952305246422888,0.8873999371355878,0.9025468718168709
60_A,50.0,0.8950715421303654,0.8872359687968544,0.9023930230348652
60_A,51.0,0.8947535771065188,0.8869080483418432,0.9020853092534346
60_A,52.0,0.8945945945945941,0.8867440962039905,0.9019314442755954
60_A,53.0,0.8944356120826717,0.8865801494449276,0.901777573920668
60_A,54.0,0.8942766295707468,0.886416208053963,0.9016236981993414
60_A,56.0,0.8939586645469006,0.8860883413337911,0.9013159307000775
60_A,60.0,0.8939586645469006,0.8860883413337911,0.9013159307000775
60_B,0.0,1.0,1.0,1.0
60_B,1.0,0.9982019277007657,0.9977792347903742,0.9985442253753593
60_B,2.0,0.9962156850446381,0.995623493349875,0.9967278781110778
