fpr,tpr,split
0.0,0.0,train
0.0004531165925632239,0.004583742732566472,train
0.000892073291608847,0.008689391238149397,train
0.0013121501326310025,0.012715930627037204,train
0.0017652667251942266,0.016460428817272846,train
0.0022797428563337205,0.02010288771206116,train
0.0027753391294497464,0.023878341643612282,train
0.0032945352250951074,0.027106910811923235,train
0.003818451285246335,0.030632425795075285,train
0.004384847025950365,0.033941250589018965,train
0.0049323629086309275,0.03735211467840997,train
0.005583718010440561,0.04068043012429303,train
0.006230353147744329,0.04435155174252161,train
0.006806188817460093,0.047776173939163946,train
0.007339544806623054,0.051586023138843376,train
0.008047539482503092,0.05520784487275471,train
0.008727214371347927,0.05871042967715455,train
0.009482408692286634,0.0622795119999358,train
0.01016208358113147,0.06571101325020379,train
0.010827598576458704,0.06915741911666072,train
0.011549753145856344,0.07282280819020125,train
0.012304947466795049,0.07624169784215552,train
0.013163981006862828,0.07954822961822398,train
0.013895575505272201,0.08295565418080217,train
0.014721569293798911,0.08656027828064934,train
0.01547204365023175,0.08999292603985494,train
0.016354677012828864,0.09350468291575567,train
0.017190110730367306,0.09716548595354575,train
0.018006664589882284,0.10093635384934643,train
0.01885625820093833,0.10436326906386399,train
0.019790811173099977,0.1078956631006417,train
0.02072536414526163,0.11157022424568311,train
0.02164103725939981,0.11475293305648965,train
0.022518950657491054,0.11806978341299659,train
0.023387424126570567,0.1214370801627584,train
0.024359736814779154,0.12504858331623125,train
0.025346209396505337,0.1290143577314257,train
0.02639876148131366,0.1324458589816937,train
0.02736163424051051,0.1362087013149311,train
0.028376426609271897,0.13953357723400134,train
0.029344019332974616,0.14332164276386616,train
0.030429611169324005,0.1471085617847934,train
0.031628482153814204,0.1507487276617065,train
0.03267631427411666,0.15398073635683027,train
0.03373358632343085,0.15764268590355796,train
0.03477669847922744,0.16093316655449988,train
0.03596140957020003,0.16459396959228995,train
0.03713196076765503,0.16803922894980927,train
0.03820339271048682,0.17161175079940336,train
0.03939282376596528,0.17507764731779968,train
0.040520895282867474,0.17881755947228486,train
0.041696166444828334,0.1824852415637006,train
0.04276759838766012,0.1860268076719792,train
0.043990069194679654,0.18940556951111712,train
0.045335259078851727,0.1927224198676241,train
0.04656716981488299,0.19610806076038767,train
0.047671641509255853,0.19951892484977868,train
0.04885163263572258,0.20311781640493778,train
0.05007882340724798,0.20701136075706278,train
0.05139097353987898,0.21018604400530605,train
0.05265592402745131,0.21402570243736335,train
0.053925594479529514,0.21761083588527114,train
0.055270784363701586,0.22105838826066568,train
0.05664429403490886,0.22441880595680183,train
0.05794228427402226,0.22772075169711986,train
0.05925443440665326,0.2308805303291742,train
0.06052410485873146,0.23411253902429796,train
0.061878734671915264,0.23719091552178195,train
0.06328528409466361,0.24044012185096988,train
0.06461631408531808,0.2437753163504786,train
0.06592846421794908,0.24682846965133518,train
0.06737749332125022,0.25013500142740364,train
0.06871796324091643,0.25328102195220664,train
0.0701056328056413,0.2563903541910061,train
0.07149802233487204,0.25973930679776613,train
0.07287153200607932,0.2633806191836168,train
0.07427336146432179,0.26643033295766055,train
0.0756421511710232,0.2695453977411481,train
0.0769684611971718,0.27245409091586575,train
0.07834669083288494,0.2754969256362838,train
0.07970604061057461,0.278665876339839,train
0.08102291070771148,0.2818290944987062,train
0.08252385942057716,0.28479740613817955,train
0.08386904930474923,0.2880351473779914,train
0.08528031869200343,0.29105505191965725,train
0.08673406775981045,0.29425725138240316,train
0.08815005711157052,0.29722785603975177,train
0.08957076642783646,0.3001606259021592,train
0.09109531496323148,0.3032493209800817,train
0.09251130431499155,0.3063116463524391,train
0.09396977334730443,0.3093418694745435,train
0.09551792170522877,0.3120808793264948,train
0.09688199144742432,0.31513747215416416,train
0.09837350023127826,0.31823648581252517,train
0.09986028905062634,0.3210924395761127,train
0.10127627840238641,0.32390253298219585,train
0.10280082693778143,0.32711275800750506,train
0.10426873589910604,0.32991826537783775,train
0.1056422455703133,0.3326297590152864,train
0.10711959446064966,0.3353939920638651,train
0.10854974370592733,0.33812497635325317,train
0.11015453163792208,0.34075048182038103,train
0.11165548035078776,0.3436855447006637,train
0.11315170909914757,0.3465632821340659,train
0.1146904175280602,0.3495487914076034,train
0.11625744574400801,0.35221786421436047,train
0.11767815506027395,0.3549029881462441,train
0.1191838237376455,0.35763626545350735,train
0.12064229276995837,0.3604131101003998,train
0.12211964166029471,0.36330345913211565,train
0.12359699055063106,0.3661903686370187,train
0.1250601795474498,0.36885256239015013,train
0.12660832790537416,0.37154341886672176,train
0.12815175629879264,0.37411045237803153,train
0.12965742497616417,0.3769228388019899,train
0.13126221290815893,0.37954719776018014,train
0.13283868105311847,0.3820752499676111,train
0.13434434973049003,0.38458725104991554,train
0.13582641858533223,0.38719670539191686,train
0.13739816676578592,0.3898485805646098,train
0.13891327537216921,0.39261854615787656,train
0.14041422408503487,0.3951133496061169,train
0.1420095720880179,0.39761847163479563,train
0.14351052080088358,0.40004104501996646,train
0.14510586880386658,0.4024200510655081,train
0.1467012168068496,0.40510058896164125,train
0.14826824502279742,0.40770660377682977,train
0.14984471316775697,0.41008560982237136,train
0.15138814156117547,0.412532259895232,train
0.15301652931569953,0.41505228654009974,train
0.15461187731868256,0.4176456897569745,train
0.15623554510870077,0.42029183238497936,train
0.15776953357310752,0.422962051700674,train
0.1592563223924556,0.4254167273360979,train
0.16086583028895624,0.42797114924909396,train
0.16249893800798618,0.43036620641976214,train
0.16403292647239293,0.43284839826968874,train
0.1655338751852586,0.43538103651287013,train
0.16708202354318297,0.4378838655236737,train
0.16870569133320118,0.44040733169535423,train
0.1703859986972898,0.4428344911162755,train
0.17203326630983734,0.4451332415361844,train
0.1736663740288673,0.44724167147245,train
0.1753230815704266,0.44971698426875084,train
0.17692786950242134,0.45205012995678806,train
0.17854209736342783,0.4543913012073886,train
0.18019408494048125,0.45691935341481954,train
0.1818271926595112,0.459343073308928,train
0.18351221998810568,0.46159596337133246,train
0.18514060774262978,0.46396923687218605,train
0.1868633947872712,0.4661521898893963,train
0.18852954225784221,0.4686171841052587,train
0.1902853690540247,0.47083453239059725,train
0.19199399620514854,0.4731871687305738,train
0.19367902353374303,0.4755031167845469,train
0.19536405086233752,0.47801397135791374,train
0.19698771865235573,0.4804445703056478,train
0.19860194651336222,0.4826722371714249,train
0.20022561430338043,0.4849274202517046,train
0.20192480152549253,0.4872857891363692,train
0.20360510888958114,0.48964071849422103,train
0.20531373604070496,0.49192227128006577,train
0.20698932344028773,0.4943414051384238,train
0.20852803186920035,0.4967249972197158,train
0.2102036192687831,0.4991475706048866,train
0.2119736059584832,0.5012204587640863,train
0.21373415271917154,0.5033816281114819,train
0.21539086026073084,0.5056929901297046,train
0.2171089273408664,0.50782549675366,train
0.2188505942435313,0.5100107427887454,train
0.22063474082674897,0.5122097469310822,train
0.22230088829732,0.5144362672879217,train
0.2240991947740553,0.5165756529655027,train
0.2257983819961674,0.518925996287604,train
0.2274975692182795,0.5210149355719302,train
0.22920619636940331,0.5230924097668803,train
0.23098562298811512,0.5252638976947145,train
0.23277920950034456,0.5273562765058535,train
0.23452087640300945,0.5294704389868071,train
0.23627198323468607,0.5315330085655683,train
0.23798533035031577,0.5335359596795737,train
0.23969867746594545,0.5357315242950976,train
0.24151114383619834,0.5380658164920724,train
0.24329057045491018,0.5403485157868548,train
0.24506055714461028,0.5425222967325641,train
0.24691550319541597,0.5446570963743947,train
0.24872796956566887,0.5467437426408458,train
0.2505026762198748,0.5489599444172467,train
0.25235290230617463,0.5510569092641362,train
0.25419840842796865,0.5531229183697102,train
0.256029754656245,0.5554136432270558,train
0.2577903014169333,0.5575278057080094,train
0.2595933278581745,0.5596603123319648,train
0.2614293940509567,0.5616896331515352,train
0.26322298056318616,0.563826725811241,train
0.26499768721739214,0.5658640721933748,train
0.26681959351665674,0.5680160694692695,train
0.26862261995789793,0.5699341789218918,train
0.27050116583123296,0.5720529274385958,train
0.2724080314916032,0.5740558785526012,train
0.274258257577903,0.576051950612981,train
0.2760565640546383,0.5780732458699882,train
0.27786431046038534,0.5800165785192378,train
0.27971453654668516,0.5819988924723662,train
0.2815081230589146,0.5841623548376371,train
0.2833866689322496,0.5861733315142058,train
0.2852132951960201,0.5884113169604214,train
0.28712016085639036,0.59049910973581,train
0.28904590637478406,0.5924046075901185,train
0.2908253329934959,0.5944580050973788,train
0.2926944389378192,0.5964254144343182,train
0.2946060245626953,0.5983572819941918,train
0.2964043310394306,0.6002742449378764,train
0.29827815694825977,0.6021843288279354,train
0.3001708627151124,0.604210210120693,train
0.3020210888014122,0.6063014424228944,train
0.30396571417782936,0.6080854103298162,train
0.305858419944682,0.6101044125689482,train
0.3077275258890053,0.6121360264063939,train
0.30972407087498705,0.6141389775203993,train
0.3116167766418397,0.6161189984556524,train
0.3134528428346219,0.6180072986758969,train
0.3153077888854276,0.6200056637541518,train
0.31721465454579784,0.6220888704937899,train
0.31907904052561525,0.6241823958138666,train
0.32093398657642097,0.62619107947256,train
0.32281725241426185,0.6280300798084871,train
0.3245777991749502,0.6298587615639758,train
0.32649410476433216,0.631844515043917,train
0.3284764898567963,0.6337672105322897,train
0.3303691956236489,0.6359730937282522,train
0.3322571814259957,0.6380391028338261,train
0.3341546071573542,0.640040907438894,train
0.3361181123917948,0.6419406727485144,train
0.33806745773271785,0.6438186543883203,train
0.3399507235705588,0.6455200736517341,train
0.3419142288049994,0.6475058271316754,train
0.34380221460734617,0.6493310693603512,train
0.3456430007646342,0.6512560578665991,train
0.34761594592808664,0.6532876717040448,train
0.34956529126900965,0.6551679463617258,train
0.35149103678740334,0.6569473282328973,train
0.3533884625187619,0.6587714239526354,train
0.3553142080371556,0.6606287684315643,train
0.357320192952149,0.6626042033310671,train
0.3592931381156014,0.6643824386933008,train
0.36131800288861826,0.6661973623415381,train
0.3632107086554709,0.6680203115523387,train
0.36523557342848784,0.6697847888073212,train
0.3671565989823756,0.6715527055891164,train
0.36918146375539257,0.6733985849786692,train
0.37116856881236254,0.675359115261983,train
0.37319343358537943,0.6771224460080278,train
0.37521357839389047,0.6789809369958943,train
0.37731396259900124,0.6808027396977573,train
0.37935770723004164,0.6826291284353707,train
0.3813872919675644,0.6845197216734903,train
0.3833979968470637,0.6862968105267865,train
0.38549366108766864,0.6880337715672663,train
0.3874618862866151,0.6896858909463629,train
0.38952451077567896,0.6915409424074166,train
0.3916626546968367,0.6932389221440176,train
0.393744159043924,0.6949116786839912,train
0.3957926236394702,0.6967174302607276,train
0.3977844486609461,0.6985266213642769,train
0.3998140333984688,0.700226894118753,train
0.401829458242474,0.7019890783558603,train
0.40381184333493814,0.7037019627086503,train
0.4058839077530137,0.705371279721811,train
0.4078898926680071,0.7071082407622908,train
0.4098769977249771,0.7087809973022645,train
0.4118641027819471,0.7104755375120527,train
0.4138559278034229,0.7122388682580975,train
0.41580527314434595,0.714009078057768,train
0.4179386971009978,0.7156462928206757,train
0.4199824417320382,0.7173029982355228,train
0.42202618636307854,0.718991805900623,train
0.4242020900002832,0.7207734807896695,train
0.4263874335664996,0.7224577024190192,train
0.4284406181265517,0.7240995032176774,train
0.43039940339648647,0.7258639804726598,train
0.43249978760159724,0.7275550811556352,train
0.4345718520196728,0.7293080933212415,train
0.43667223622478357,0.7308512943512652,train
0.4386923810332946,0.7325962809543082,train
0.44077860534488783,0.7342162980831517,train
0.4428223499759282,0.7359910939185726,train
0.4449888136841211,0.7376959527087994,train
0.4471363975342905,0.7393308744538318,train
0.4492273418103896,0.7410150960831815,train
0.45141740534111185,0.74273829901641,train
0.45355554926226954,0.7442964046626226,train
0.455632333644851,0.7459771867651595,train
0.4577091180274324,0.7476396247246946,train
0.45974342272946106,0.7492871580680407,train
0.4617777274314897,0.7509129077415723,train
0.4639489111041885,0.752617766531799,train
0.4660351354157817,0.7542228790444536,train
0.4683101583076095,0.7558176729766697,train
0.4705238216608611,0.7575110666775203,train
0.47271388519158336,0.7591035675918612,train
0.47488506886428217,0.7606891894525764,train
0.47704681260796916,0.7623241111976088,train
0.4792132763161621,0.7638547006293187,train
0.4812995006277553,0.7653761179895278,train
0.4834187646908895,0.7670156257703107,train
0.48546722928643576,0.7686837962745339,train
0.48752041384648787,0.7702705646441866,train
0.48977655688029226,0.7719043398802815,train
0.4918863810144148,0.7735232105001875,train
0.49401036504205487,0.7751191509413412,train
0.4961721087857419,0.7767781493740634,train
0.4982772129553586,0.7783786758509676,train
0.5003587173024459,0.7799803488368093,train
0.5025110211171212,0.7816301751980308,train
0.5045783655706909,0.783268536469876,train
0.5068203487109777,0.7847463864904559,train
0.5089868124191707,0.7862746829042906,train
0.5112476754174808,0.787836228077316,train
0.5134235790546855,0.7893530594017746,train
0.5156278024789254,0.7908905278871101,train
0.5178084260806358,0.7923981871400678,train
0.520003209575864,0.79395170675053,train
0.5221507934260334,0.7955178379593059,train
0.5244305362823671,0.7970679180429551,train
0.5265875600615484,0.7985870423852889,train
0.5287068241246826,0.8001245108706245,train
0.5308732878328755,0.8016436352129583,train
0.5330775112571153,0.802989636705713,train
0.5352014952847555,0.8045328377357366,train
0.5374057187089953,0.8060622806585088,train
0.5396335419557645,0.8076146537600334,train
0.5418660851670395,0.8090787456733619,train
0.544051428733256,0.810543984095628,train
0.5461612528673785,0.812065401455837,train
0.5484740354752532,0.813539811949604,train
0.5505885795738816,0.814982120193118,train
0.5527408833885569,0.8164530911600721,train
0.5550017463868672,0.8178759087516466,train
0.5572201297046246,0.8194328678889217,train
0.5595989918155816,0.8209130109273767,train
0.5618456949203742,0.8223484401172649,train
0.5640593582736257,0.8237231043334599,train
0.566249421804348,0.8252456682026065,train
0.5684819650156231,0.8266031347847372,train
0.5707381080494275,0.8279571618400551,train
0.5729612113316908,0.829388004994193,train
0.5751984745074717,0.8309117153722771,train
0.5774262977542409,0.8322645959186575,train
0.5798051598651978,0.8337263948141108,train
0.5821226624375785,0.8352008053078778,train
0.5842277666071951,0.8366213298815771,train
0.5865263893215523,0.8380957403753441,train
0.5888202920714036,0.8394898952434784,train
0.5912085941113723,0.8408485083345467,train
0.5934364173581415,0.8422804979976222,train
0.595758639895028,0.8436792389015069,train
0.5981894216155494,0.8450848588590172,train
0.6004833243654008,0.8463723883959537,train
0.6026639479671113,0.8477344410138349,train
0.6049625706814685,0.8490987866495914,train
0.6072706333248374,0.8503863161865278,train
0.6095975758262298,0.8517414897507833,train
0.6119150783986105,0.8531803584674844,train
0.6141901012904383,0.8545538761747418,train
0.616649202797995,0.8559159287926229,train
0.6189572654413639,0.8573215487501333,train
0.6213550074103443,0.8587799081187737,train
0.6237197096277836,0.8600628516199598,train
0.6260088924131291,0.8614570064880941,train
0.6281989559438513,0.8628889961511695,train
0.6306391775933845,0.8642499022601131,train
0.632890600662683,0.8656085153511814,train
0.6352128231995695,0.8669591028796865,train
0.6375444856654678,0.8682374603451222,train
0.6399516675634599,0.8695834618378767,train
0.6422833300293582,0.870795321784931,train
0.6445961126372329,0.8722376300284449,train
0.6469608148546723,0.8735354781458199,train
0.6493160771430999,0.8748390588078829,train
0.6516996592185627,0.8760910465677535,train
0.653960522216873,0.8773957737387542,train
0.6562921846827712,0.8786534940433128,train
0.6587843259418689,0.8799765653573153,train
0.6613189468815195,0.8813053692160058,train
0.6637214088150057,0.8826651288160117,train
0.666156910500033,0.8839228491205703,train
0.6686679316171542,0.8851782764072538,train
0.6711411930182285,0.8865391825161973,train
0.6735955745612793,0.8877521889721891,train
0.6759933165302597,0.8890546231253146,train
0.6785892970084865,0.890263043545556,train
0.6810483985160432,0.8914794895283606,train
0.6834603003785411,0.8927830701904237,train
0.6860326810342386,0.8939192605475956,train
0.6885861818319127,0.8951838599057799,train
0.6910405633749634,0.8964347011567129,train
0.6935563044565904,0.8976431215769543,train
0.6959587663900767,0.8988630070865717,train
0.6985264270812683,0.9001734668022604,train
0.700985528588825,0.9013497849722487,train
0.7036192687830988,0.9024962939098592,train
0.7060170107520791,0.9037700653395444,train
0.7084855521886475,0.9049853648134114,train
0.7109729734832394,0.906216715412405,train
0.7133943152747492,0.9073563452963898,train
0.7160280554690229,0.9084673124569342,train
0.7187561949534139,0.9096677073146123,train
0.7214088150057112,0.9108807137706042,train
0.7240614350580084,0.9121212364410987,train
0.7266479756072234,0.913256280289333,train
0.7291778765823681,0.9143844450839417,train
0.7317549772025714,0.9155676423075556,train
0.7342943181067279,0.9168505858087417,train
0.7369091784429781,0.9180441016127942,train
0.7394721191696638,0.9192387639257842,train
0.7420350598963495,0.9203829798455194,train
0.7445838407295177,0.9215501259440068,train
0.7470854219176272,0.9226805837564906,train
0.7496955622893716,0.9238603414532918,train
0.7522207433000104,0.9249885062479004,train
0.7550527220035306,0.926093740863757,train
0.7576911821623101,0.9271771918097987,train
0.7605420407238538,0.9282961845329065,train
0.7631663409891157,0.929433521399016,train
0.7657104018577781,0.9305479280863734,train
0.7683111023005107,0.9317414438904259,train
0.7709920421398431,0.9328191622917796,train
0.7736352222631285,0.9339243969076361,train
0.7762878423154258,0.9350502686843696,train
0.7791245409834519,0.9362116822381689,train
0.7819470797579602,0.9372928401663355,train
0.7847035390293865,0.9384003678000672,train
0.7876251970585181,0.9394826722371714,train
0.7902966969688388,0.9405500720580867,train
0.7930201164887241,0.9416725043080073,train
0.7957388160441033,0.9427639808166125,train
0.7984669555284944,0.9438795340129074,train
0.8012753344094853,0.9449354687444466,train
0.804083713290476,0.9460154801636756,train
0.8068212927038788,0.9470381661360241,train
0.8096579913719049,0.9480872218139377,train
0.8125230098269661,0.9491408635276016,train
0.8152369894178396,0.9501601099731373,train
0.8180500882633363,0.9513043258928725,train
0.8209056667893857,0.952435930214294,train
0.8238367647475291,0.9535296997407743,train
0.8267914625282018,0.9546085646510657,train
0.8294488025450049,0.9556071739357244,train
0.832384620467654,0.9566241273633849,train
0.8353204383903033,0.9576204436301683,train
0.8383742554255992,0.9586030017897005,train
0.8411920742356017,0.9596256877620489,train
0.8440287729036278,0.9606541062790855,train
0.8470259503648533,0.9615701669202362,train
0.850013687897067,0.9625206228295152,train
0.8529542257842221,0.9634515880868549,train
0.8559608431744593,0.9643412790224406,train
0.8589391407776613,0.965331862744536,train
0.861860798806793,0.966214674626496,train
0.864839096409995,0.9672201629647804,train
0.8679873127354082,0.968166032838309,train
0.8709797702321278,0.9691440049620906,train
0.8740524671254473,0.9701162445411843,train
0.8770449246221669,0.9711320514599071,train
0.8800562619769099,0.972038940029557,train
0.8833271973794757,0.972942389072394,train
0.8862913350891601,0.9739111891246748,train
0.889524510775679,0.9748604985250162,train
0.8928190460007741,0.9757742661482918,train
0.8959011828231052,0.9766696896285655,train
0.8988936403198248,0.9775467689658375,train
0.9021268160063436,0.9784135297226709,train
0.9053175120123097,0.9793364694174473,train
0.9085412477698168,0.9801986441385304,train
0.9118546628529354,0.9810917746009289,train
0.9152435973681478,0.9820055422242044,train
0.9184578931966432,0.982863130909537,train
0.9219223471439495,0.9837126940323063,train
0.9252593620495974,0.9845656966818885,train
0.928714376067892,0.9853888900990928,train
0.9320513909735398,0.9862258416235484,train
0.9353223263761057,0.9870547675854408,train
0.9386027017076831,0.9879536305925273,train
0.9421379551225775,0.9887871425901701,train
0.94566376860846,0.9895598896141194,train
0.9491943020588485,0.9903819365223862,train
0.9527342754382487,0.9912200345557793,train
0.9564394475753543,0.991995074597604,train
0.9601823794285067,0.9927701146394287,train
0.9637837123464832,0.993599040601321,train
0.9674605646965535,0.9943626155537696,train
