index,Original feature name,Proportions_Train,Proportions_2019Q1,Contribution
grade:A,grade,0.17631073549515444,0.23430391264786168,0.016491581479842976
grade:B,grade,0.2947349195543527,0.2602365787079163,0.004294534212153388
grade:C,grade,0.27645592692830645,0.2552320291173794,0.0016953302016287986
grade:D,grade,0.14849652149368223,0.18744313011828936,0.009071208831046116
grade:E,grade,0.07251177489608758,0.062329390354868064,0.0015407565912562663
grade:F,grade,0.025182503971087164,0.0,0.0
verification_status:Source Verified,verification_status,0.383874526559701,0.37261146496815284,0.00033540854055378217
verification_status:Not Verified,verification_status,0.29442405860789644,0.4681528662420382,0.08057086503342067
inq_last_6mths:0,inq_last_6mths,0.5652807987558183,0.5969062784349408,0.0017216125840574612
inq_last_6mths:1,inq_last_6mths,0.2725632468272812,0.27388535031847133,6.397531483277811e-06
inq_last_6mths:2,inq_last_6mths,0.10381648688388191,0.09690627843494086,0.0004759784857065596
mths_since_earliest_cr_line:250-350,mths_since_earliest_cr_line,0.26675374462911616,0.23157415832575068,0.0049752999928130495
mths_since_earliest_cr_line:>350,mths_since_earliest_cr_line,0.3317273721826497,0.1797088262056415,0.09318365251895089
annual_inc:30K-40K,annual_inc,0.11109173995421028,0.08371246587807098,0.007747470594323457
annual_inc:40K-50K,annual_inc,0.14165942554372993,0.10964513193812557,0.0082013156927544
annual_inc:50K-60K,annual_inc,0.1387113199506312,0.1105550500454959,0.006388132562851441
annual_inc:60K-70K,annual_inc,0.1150655944270104,0.1164695177434031,1.7025709975552155e-05
annual_inc:70K-80K,annual_inc,0.10139232496314868,0.10373066424021839,5.331501328145533e-05
annual_inc:80K-90K,annual_inc,0.07560562538396401,0.07643312101910828,9.007648429718227e-06
annual_inc:90K-100K,annual_inc,0.061952649513046014,0.06551410373066424,0.00019906772518045603
annual_inc:100K-120K,annual_inc,0.07417031490121632,0.09235668789808917,0.003988164692396225
annual_inc:120K-150K,annual_inc,0.05591346074019958,0.06915377616014559,0.002813931311908562
annual_inc:>150K,annual_inc,0.05064450606317211,0.09281164695177434,0.02554238218400763
dti:<8.6,dti,0.13434727503168567,0.2010919017288444,0.026920375518762234
dti:8.6-11,dti,0.08203684947504165,0.08598726114649681,0.00018579034538037577
dti:11-12.6,dti,0.0637818401861107,0.06869881710646042,0.00036515175611977446
dti:12.6-15,dti,0.10415133116745351,0.08780709736123748,0.0027900034664914094
dti:15-18.2,dti,0.1406392112802859,0.137852593266606,5.576824165293563e-05
dti:18.2-22.2,dti,0.16192903515034784,0.12556869881710647,0.009246621690474112
dti:22.2-26.2,dti,0.1296594550616833,0.10327570518653321,0.006002547816768871
dti:26.2-30.2,dti,0.0934796685871785,0.06642402183803457,0.009244514034273834
installment:<116.359,installment,0.05100517855594482,0.10191082802547771,0.03523541572390202
installment:116.359-218.708,installment,0.1440097925810314,0.17424931756141948,0.005763829815161167
installment:218.708-321.058,installment,0.19126988080281454,0.16560509554140126,0.0036977670555895367
installment:321.058-423.407,installment,0.18159168184073957,0.15468607825295724,0.004314660581200015
installment:423.407-798.687,installment,0.33457308737498687,0.272975432211101,0.012533493805059977
total_rev_hi_lim:20K-30K,total_rev_hi_lim,0.19773800233560807,0.181073703366697,0.0014671046280166267
total_rev_hi_lim:30K-40K,total_rev_hi_lim,0.12382965927057447,0.1537761601455869,0.006486146579917668
total_rev_hi_lim:40K-55K,total_rev_hi_lim,0.10561615960357389,0.14149226569608736,0.010491381372957255
total_rev_hi_lim:55K-95K,total_rev_hi_lim,0.09163202919325589,0.1510464058234759,0.02969567610773497
total_rev_hi_lim:>95K,total_rev_hi_lim,0.033982543820324215,0.08371246587807098,0.044833559977091916
home_ownership:OWN,home_ownership,0.10400650870871868,0.12238398544131028,0.002990200023871577
home_ownership:MORTGAGE,home_ownership,0.4930891091666159,0.5209281164695178,0.0015289782318390359
int_rate:5.284_9.419,int_rate,0.240254924424815,0.23430391264786168,0.00014926030214330472
int_rate:9.419_11.987,int_rate,0.17405168962609976,0.19745222929936307,0.0029518460118957094
int_rate:11.987_13.014,int_rate,0.11972666375176877,0.050955414012738856,0.058748550308317854
int_rate:13.014_15.068,int_rate,0.16551915622930286,0.15013648771610555,0.0015004583633680762
int_rate:15.068_17.123,int_rate,0.11282222997068499,0.10327570518653321,0.0008440200208802786
int_rate:17.123_22.772,int_rate,0.15435030062190638,0.18562329390354868,0.00576969900590071
term:36,term,0.7592598742166212,0.7461328480436761,0.00022894116786017417
purpose:debt_consolidation,purpose,0.5857625686523025,0.494540491355778,0.01544257527489509
purpose:educational_other,purpose,0.05337399431410423,0.09554140127388536,0.0245513842669245
purpose:vacation_major_purchase_home_improvement,purpose,0.08845884920569032,0.12238398544131028,0.011012983327085805
purpose:credit_card_car_wedding,purpose,0.23834363694393249,0.22793448589626933,0.0004648231374028881
addr_state:LA_NV_TN_SD,addr_state,0.04310266897644652,0.04094631483166515,0.00011067079245646385
addr_state:NY,addr_state,0.08273052137930016,0.06960873521383075,0.002266113181102791
addr_state:IN_NM_MO,addr_state,0.037222139202978365,0.03776160145586897,7.762337298088436e-06
addr_state:FL,addr_state,0.07015864055065742,0.0832575068243858,0.0022422550922381284
addr_state:KY_MD_ND_IA_NJ_OH_PA_NC_ID,addr_state,0.16638716854566887,0.15423111919927207,0.0009222206518435473
addr_state:HI_MI_VA_DE_MN_AZ,addr_state,0.10409321769675099,0.09781619654231119,0.000390409684922157
addr_state:TX_AK,addr_state,0.08394813695592417,0.08735213830755233,0.0001353033522799215
addr_state:CA,addr_state,0.14666179620436018,0.13330300272975432,0.0012758245836039174
addr_state:MA_GA_RI_IL_UT,addr_state,0.10635134112976277,0.11191992720655142,0.0002841957298358317
addr_state:WI_CT_MT_WY_SC_KS,addr_state,0.05345424624983627,0.058689717925386714,0.0004891944665611081
addr_state:WV_WA_CO_ME_OR_NH_VT_DC,addr_state,0.07007008669053931,0.08098271155595996,0.0015794902099754138
grade:G,grade,0.006307617661329452,0.00045495905368516835,0.015388429875273233
verification_status:Verified,verification_status,0.3217014148324026,0.1592356687898089,0.11425217302675723
inq_last_6mths:>2,inq_last_6mths,0.0583394675330186,0.03230209281164695,0.015391911173320623
mths_since_earliest_cr_line:<250,mths_since_earliest_cr_line,0.16956403827740604,0.45586897179253866,0.2831483538397484
annual_inc:<30K,annual_inc,0.07379303855967147,0.07961783439490445,0.00044253140344312247
dti:>=30.2,dti,0.08994673854288313,0.12192902638762511,0.00972969712999829
installment:>798.687,installment,0.09755037884448282,0.1305732484076433,0.009628326474623422
total_rev_hi_lim:<=20K,total_rev_hi_lim,0.44720160577666346,0.2888989990900819,0.06916753306262495
home_ownership:RENT_OTHER_NONE_ANY,home_ownership,0.4029043821246654,0.35668789808917195,0.00563092879889988
int_rate:>22.772,int_rate,0.03327503537542224,0.07825295723384895,0.03846238382009524
term:60,term,0.2407401257833788,0.2538671519563239,0.0006969541321204297
purpose:small_business_renewable_energy_moving_house_medical,purpose,0.03406095088397046,0.05959963603275705,0.014288840057406925
addr_state:NE_MS_AL_AR_OK,addr_state,0.035820036417774974,0.04413102820746133,0.0017341358860457007
Score:300-350,Score,1.8448720857939316e-06,0.0,0.0
Score:350-400,Score,0.002586510664283092,0.0,0.0
Score:400-450,Score,0.033497342461760414,0.01637852593266606,0.012248428038369794
Score:450-500,Score,0.10036934339157595,0.08234758871701547,0.003566642947846462
Score:500-550,Score,0.1861798787181091,0.17606915377616014,0.000564547080875555
Score:550-600,Score,0.23789994520729904,0.23202911737943585,0.0001466962374768948
Score:600-650,Score,0.20397735972976314,0.19745222929936307,0.0002121471798137028
Score:650-700,Score,0.12973417238115795,0.14012738853503184,0.000800946945024946
Score:700-750,Score,0.09241425495763252,0.12010919017288443,0.007259396584322631
Score:750-800,Score,0.013184378361126332,0.03503184713375796,0.021349890368812092
Score:800-850,Score,0.00015496925520669025,0.00045495905368516835,0.00032308321693682484
