variable,bin,proportion,WoE,iv_contribution,IV
grade,G,0.0063,-1.3845,0.016518,0.4706
grade,F,0.0252,-1.2079,0.048957,0.4706
grade,E,0.0725,-0.9375,0.081018,0.4706
grade,D,0.1485,-0.5582,0.054078,0.4706
grade,C,0.2765,-0.1358,0.005312,0.4706
grade,B,0.2947,0.4844,0.059262,0.4706
grade,A,0.1763,1.3468,0.205409,0.4706
delinq_2yrs,0.0,0.8057,0.0191,0.000293,0.0021
delinq_2yrs,1.0,0.1289,-0.0387,0.000196,0.0021
delinq_2yrs,2.0,0.038,-0.125,0.000617,0.0021
delinq_2yrs,3.0,0.0138,-0.1725,0.000432,0.0021
delinq_2yrs,4.0,0.0061,-0.1867,0.000226,0.0021
delinq_2yrs,5.0,0.0031,-0.1701,9.6e-05,0.0021
delinq_2yrs,6.0,0.0017,-0.1648,5e-05,0.0021
delinq_2yrs,7.0,0.001,-0.3032,9.7e-05,0.0021
delinq_2yrs,8.0,0.0006,-0.1261,9e-06,0.0021
delinq_2yrs,9.0,0.0003,-0.2762,2.9e-05,0.0021
delinq_2yrs,10.0,0.0002,-0.1946,1e-05,0.0021
delinq_2yrs,11.0,0.0001,-0.2889,1.4e-05,0.0021
delinq_2yrs,12.0,0.0001,-0.4771,3e-05,0.0021
delinq_2yrs,13.0,0.0001,-0.1382,2e-06,0.0021
delinq_2yrs,14.0,0.0001,-0.4145,1.3e-05,0.0021
delinq_2yrs,15.0,0.0,-0.022,0.0,0.0021
delinq_2yrs,16.0,0.0,-0.444,8e-06,0.0021
delinq_2yrs,17.0,0.0,-0.5795,1e-05,0.0021
delinq_2yrs,18.0,0.0,-0.0168,0.0,0.0021
delinq_2yrs,19.0,0.0,-0.6074,8e-06,0.0021
delinq_2yrs,20.0,0.0,-0.2116,1e-06,0.0021
delinq_2yrs,21.0,0.0,-0.4583,3e-06,0.0021
delinq_2yrs,22.0,0.0,0.2956,1e-06,0.0021
delinq_2yrs,24.0,0.0,0.1085,0.0,0.0021
delinq_2yrs,26.0,0.0,0.2064,0.0,0.0021
delinq_2yrs,27.0,0.0,-0.3866,2e-06,0.0021
delinq_2yrs,29.0,0.0,0.1085,0.0,0.0021
delinq_2yrs,30.0,0.0,0.1085,0.0,0.0021
delinq_2yrs,39.0,0.0,0.1085,0.0,0.0021
inq_last_6mths,0.0,0.5653,0.1376,0.01025,0.0277
inq_last_6mths,1.0,0.2726,-0.0864,0.002087,0.0277
inq_last_6mths,2.0,0.1038,-0.2326,0.006015,0.0277
inq_last_6mths,3.0,0.0406,-0.3519,0.005567,0.0277
inq_last_6mths,4.0,0.0119,-0.4239,0.002408,0.0277
inq_last_6mths,5.0,0.0043,-0.4271,0.000896,0.0277
inq_last_6mths,6.0,0.0011,-0.3697,0.000172,0.0277
inq_last_6mths,7.0,0.0002,-0.7547,0.000132,0.0277
inq_last_6mths,8.0,0.0001,-0.8494,0.00011,0.0277
inq_last_6mths,9.0,0.0,-0.71,3.4e-05,0.0277
inq_last_6mths,10.0,0.0,0.3439,3e-06,0.0277
inq_last_6mths,11.0,0.0,-0.0168,0.0,0.0277
inq_last_6mths,12.0,0.0,-0.6344,1.1e-05,0.0277
inq_last_6mths,13.0,0.0,-0.2873,1e-06,0.0277
inq_last_6mths,14.0,0.0,-1.1034,2.5e-05,0.0277
inq_last_6mths,15.0,0.0,-0.8345,1.6e-05,0.0277
inq_last_6mths,16.0,0.0,0.2956,1e-06,0.0277
inq_last_6mths,17.0,0.0,-0.2781,1e-06,0.0277
inq_last_6mths,18.0,0.0,-0.4583,3e-06,0.0277
inq_last_6mths,19.0,0.0,0.2064,0.0,0.0277
inq_last_6mths,20.0,0.0,-0.3866,2e-06,0.0277
inq_last_6mths,24.0,0.0,0.2064,0.0,0.0277
inq_last_6mths,25.0,0.0,-0.3866,2e-06,0.0277
inq_last_6mths,27.0,0.0,0.1085,0.0,0.0277
inq_last_6mths,28.0,0.0,0.1085,0.0,0.0277
inq_last_6mths,31.0,0.0,0.1085,0.0,0.0277
inq_last_6mths,32.0,0.0,-0.3866,2e-06,0.0277
inq_last_6mths,33.0,0.0,-0.3866,2e-06,0.0277
verification_status,Verified,0.3217,-0.2021,0.013951,0.0522
verification_status,Source Verified,0.3839,-0.0721,0.00204,0.0522
verification_status,Not Verified,0.2944,0.3718,0.036181,0.0522
mths_since_earliest_cr_line,"(-0.982, 19.64]",0.0,0.4994,8e-06,0.0186
mths_since_earliest_cr_line,"(137.48, 157.12]",0.0012,-0.5709,0.000462,0.0186
mths_since_earliest_cr_line,"(157.12, 176.76]",0.0115,-0.3403,0.001478,0.0186
mths_since_earliest_cr_line,"(176.76, 196.4]",0.0189,-0.2398,0.001167,0.0186
mths_since_earliest_cr_line,"(196.4, 216.04]",0.0281,-0.1735,0.000892,0.0186
mths_since_earliest_cr_line,"(216.04, 235.68]",0.0555,-0.1526,0.001352,0.0186
mths_since_earliest_cr_line,"(235.68, 255.32]",0.0871,-0.1695,0.002633,0.0186
mths_since_earliest_cr_line,"(255.32, 274.96]",0.0952,-0.1188,0.001391,0.0186
mths_since_earliest_cr_line,"(274.96, 294.6]",0.1125,-0.0451,0.000232,0.0186
mths_since_earliest_cr_line,"(294.6, 314.24]",0.1115,0.0168,3.1e-05,0.0186
mths_since_earliest_cr_line,"(314.24, 333.88]",0.088,0.0494,0.000211,0.0186
mths_since_earliest_cr_line,"(333.88, 353.52]",0.0741,0.0504,0.000185,0.0186
mths_since_earliest_cr_line,"(353.52, 373.16]",0.0673,0.091,0.000542,0.0186
mths_since_earliest_cr_line,"(373.16, 392.8]",0.0533,0.1441,0.001059,0.0186
mths_since_earliest_cr_line,"(392.8, 412.44]",0.0358,0.1505,0.000775,0.0186
mths_since_earliest_cr_line,"(412.44, 432.08]",0.0333,0.2108,0.001387,0.0186
mths_since_earliest_cr_line,"(432.08, 451.72]",0.0279,0.1525,0.000619,0.0186
mths_since_earliest_cr_line,"(451.72, 471.36]",0.0235,0.1724,0.000663,0.0186
mths_since_earliest_cr_line,"(471.36, 491.0]",0.0184,0.2152,0.000798,0.0186
mths_since_earliest_cr_line,"(491.0, 510.64]",0.0146,0.2378,0.000768,0.0186
mths_since_earliest_cr_line,"(510.64, 530.28]",0.0105,0.2184,0.000468,0.0186
mths_since_earliest_cr_line,"(530.28, 549.92]",0.0065,0.2629,0.000412,0.0186
mths_since_earliest_cr_line,"(549.92, 569.56]",0.0064,0.22,0.000292,0.0186
mths_since_earliest_cr_line,"(569.56, 589.2]",0.0055,0.177,0.000163,0.0186
mths_since_earliest_cr_line,"(589.2, 608.84]",0.0034,0.2214,0.000157,0.0186
mths_since_earliest_cr_line,"(608.84, 628.48]",0.0027,0.1862,8.8e-05,0.0186
mths_since_earliest_cr_line,"(628.48, 648.12]",0.0023,0.121,3.2e-05,0.0186
mths_since_earliest_cr_line,"(648.12, 667.76]",0.0013,0.1163,1.7e-05,0.0186
mths_since_earliest_cr_line,"(667.76, 687.4]",0.0012,-0.0314,1e-06,0.0186
mths_since_earliest_cr_line,"(687.4, 707.04]",0.0009,-0.2451,5.9e-05,0.0186
mths_since_earliest_cr_line,"(707.04, 726.68]",0.0005,-0.2155,2.7e-05,0.0186
mths_since_earliest_cr_line,"(726.68, 746.32]",0.0004,-0.491,0.000112,0.0186
mths_since_earliest_cr_line,"(746.32, 765.96]",0.0002,-0.5607,7.6e-05,0.0186
mths_since_earliest_cr_line,"(765.96, 785.6]",0.0001,-0.1598,4e-06,0.0186
mths_since_earliest_cr_line,"(785.6, 805.24]",0.0001,-0.3451,1.5e-05,0.0186
mths_since_earliest_cr_line,"(805.24, 824.88]",0.0,-0.3032,3e-06,0.0186
mths_since_earliest_cr_line,"(824.88, 844.52]",0.0,0.1404,1e-06,0.0186
mths_since_earliest_cr_line,"(844.52, 864.16]",0.0,-0.3428,4e-06,0.0186
mths_since_earliest_cr_line,"(864.16, 883.8]",0.0,0.0665,0.0,0.0186
mths_since_earliest_cr_line,"(883.8, 903.44]",0.0,0.0304,0.0,0.0186
mths_since_earliest_cr_line,"(903.44, 923.08]",0.0,0.3775,2e-06,0.0186
mths_since_earliest_cr_line,"(923.08, 942.72]",0.0,0.2064,0.0,0.0186
mths_since_earliest_cr_line,"(942.72, 962.36]",0.0,0.2064,0.0,0.0186
mths_since_earliest_cr_line,"(962.36, 982.0]",0.0,-0.1802,0.0,0.0186
annual_inc,"(-160.0, 3200.0]",0.0,-0.6466,2.7e-05,0.0262
annual_inc,"(3200.0, 6400.0]",0.0001,0.0342,0.0,0.0262
annual_inc,"(6400.0, 9600.0]",0.0005,-0.2393,3.1e-05,0.0262
annual_inc,"(9600.0, 12800.0]",0.0019,-0.273,0.000155,0.0262
annual_inc,"(12800.0, 16000.0]",0.0043,-0.2417,0.000267,0.0262
annual_inc,"(16000.0, 19200.0]",0.0052,-0.2399,0.000323,0.0262
annual_inc,"(19200.0, 22400.0]",0.0104,-0.2021,0.000451,0.0262
annual_inc,"(22400.0, 25600.0]",0.0177,-0.2003,0.000752,0.0262
annual_inc,"(25600.0, 28800.0]",0.0164,-0.2218,0.00086,0.0262
annual_inc,"(28800.0, 32000.0]",0.0356,-0.1982,0.001482,0.0262
annual_inc,"(32000.0, 35200.0]",0.034,-0.1852,0.001232,0.0262
annual_inc,"(35200.0, 38400.0]",0.0306,-0.1776,0.001016,0.0262
annual_inc,"(38400.0, 41600.0]",0.0457,-0.1429,0.000973,0.0262
annual_inc,"(41600.0, 44800.0]",0.0337,-0.1415,0.000705,0.0262
annual_inc,"(44800.0, 48000.0]",0.0593,-0.1135,0.00079,0.0262
annual_inc,"(48000.0, 51200.0]",0.0534,-0.0851,0.000397,0.0262
annual_inc,"(51200.0, 54400.0]",0.0358,-0.0668,0.000163,0.0262
annual_inc,"(54400.0, 57600.0]",0.0452,-0.0755,0.000264,0.0262
annual_inc,"(57600.0, 60800.0]",0.0576,-0.0766,0.000346,0.0262
annual_inc,"(60800.0, 64000.0]",0.0296,0.0041,0.0,0.0262
annual_inc,"(64000.0, 67200.0]",0.0445,-0.0151,1e-05,0.0262
annual_inc,"(67200.0, 70400.0]",0.0451,0.0123,7e-06,0.0262
annual_inc,"(70400.0, 73600.0]",0.0239,0.0626,9.2e-05,0.0262
annual_inc,"(73600.0, 76800.0]",0.0383,0.0545,0.000112,0.0262
annual_inc,"(76800.0, 80000.0]",0.0431,0.0641,0.000174,0.0262
annual_inc,"(80000.0, 83200.0]",0.0154,0.1546,0.000351,0.0262
annual_inc,"(83200.0, 86400.0]",0.0299,0.0868,0.00022,0.0262
annual_inc,"(86400.0, 89600.0]",0.0129,0.1628,0.000326,0.0262
annual_inc,"(89600.0, 92800.0]",0.0302,0.1842,0.000969,0.0262
annual_inc,"(92800.0, 96000.0]",0.0229,0.1542,0.00052,0.0262
annual_inc,"(96000.0, 99200.0]",0.0109,0.2144,0.00047,0.0262
annual_inc,"(99200.0, 102400.0]",0.0276,0.2019,0.001059,0.0262
annual_inc,"(102400.0, 105600.0]",0.0141,0.2845,0.001047,0.0262
annual_inc,"(105600.0, 108800.0]",0.0075,0.3189,0.000695,0.0262
annual_inc,"(108800.0, 112000.0]",0.0185,0.2531,0.001096,0.0262
annual_inc,"(112000.0, 115200.0]",0.0095,0.3848,0.001251,0.0262
annual_inc,"(115200.0, 118400.0]",0.0046,0.2912,0.000356,0.0262
annual_inc,"(118400.0, 121600.0]",0.0179,0.2151,0.000775,0.0262
annual_inc,"(121600.0, 124800.0]",0.0034,0.3569,0.000388,0.0262
annual_inc,"(124800.0, 128000.0]",0.0115,0.2622,0.00073,0.0262
annual_inc,"(128000.0, 131200.0]",0.0093,0.3635,0.001098,0.0262
annual_inc,"(131200.0, 134400.0]",0.0024,0.451,0.000428,0.0262
annual_inc,"(134400.0, 137600.0]",0.0059,0.3882,0.000793,0.0262
annual_inc,"(137600.0, 140800.0]",0.0077,0.3145,0.000693,0.0262
annual_inc,"(140800.0, 144000.0]",0.0023,0.3137,0.000207,0.0262
annual_inc,"(144000.0, 147200.0]",0.0039,0.3534,0.000433,0.0262
annual_inc,"(147200.0, 150400.0]",0.0109,0.2753,0.000762,0.0262
annual_inc,"(150400.0, 153600.0]",0.0013,0.3301,0.00013,0.0262
annual_inc,"(153600.0, 156800.0]",0.0027,0.3653,0.000318,0.0262
annual_inc,"(156800.0, 160000.0]",0.0049,0.3123,0.000438,0.0262
dti,"(-1.04, -0.2]",0.0,0.109,0.0,0.0757
dti,"(-0.2, 0.6]",0.0023,0.4633,0.000428,0.0757
dti,"(0.6, 1.4]",0.0042,0.414,0.000634,0.0757
dti,"(1.4, 2.2]",0.0057,0.4038,0.000816,0.0757
dti,"(2.2, 3.0]",0.0076,0.4217,0.001189,0.0757
dti,"(3.0, 3.8]",0.0097,0.3682,0.00117,0.0757
dti,"(3.8, 4.6]",0.0119,0.4514,0.002099,0.0757
dti,"(4.6, 5.4]",0.0142,0.4005,0.002011,0.0757
dti,"(5.4, 6.2]",0.0166,0.3643,0.001964,0.0757
dti,"(6.2, 7.0]",0.0187,0.3987,0.002615,0.0757
dti,"(7.0, 7.8]",0.0212,0.3855,0.002785,0.0757
dti,"(7.8, 8.6]",0.0233,0.3501,0.00256,0.0757
dti,"(8.6, 9.4]",0.0254,0.3302,0.002498,0.0757
dti,"(9.4, 10.2]",0.0275,0.3216,0.002573,0.0757
dti,"(10.2, 11.0]",0.0297,0.2883,0.002254,0.0757
dti,"(11.0, 11.8]",0.0315,0.2612,0.001982,0.0757
dti,"(11.8, 12.6]",0.0326,0.247,0.001843,0.0757
dti,"(12.6, 13.4]",0.034,0.1943,0.001209,0.0757
dti,"(13.4, 14.2]",0.035,0.1744,0.001008,0.0757
dti,"(14.2, 15.0]",0.0358,0.1545,0.000814,0.0757
dti,"(15.0, 15.8]",0.0354,0.1106,0.000418,0.0757
dti,"(15.8, 16.6]",0.0353,0.0924,0.000293,0.0757
dti,"(16.6, 17.4]",0.0356,0.0652,0.000148,0.0757
dti,"(17.4, 18.2]",0.035,0.0474,7.8e-05,0.0757
dti,"(18.2, 19.0]",0.0346,-0.0034,0.0,0.0757
dti,"(19.0, 19.8]",0.0339,-0.0031,0.0,0.0757
dti,"(19.8, 20.6]",0.0325,-0.032,3.4e-05,0.0757
dti,"(20.6, 21.4]",0.0315,-0.0663,0.000142,0.0757
dti,"(21.4, 22.2]",0.0302,-0.0957,0.000285,0.0757
dti,"(22.2, 23.0]",0.0291,-0.1263,0.000481,0.0757
dti,"(23.0, 23.8]",0.0278,-0.1531,0.000681,0.0757
dti,"(23.8, 24.6]",0.0263,-0.1454,0.000582,0.0757
dti,"(24.6, 25.4]",0.0244,-0.203,0.001069,0.0757
dti,"(25.4, 26.2]",0.0227,-0.2503,0.00153,0.0757
dti,"(26.2, 27.0]",0.0215,-0.2699,0.0017,0.0757
dti,"(27.0, 27.8]",0.0199,-0.2974,0.001921,0.0757
dti,"(27.8, 28.6]",0.0191,-0.3057,0.001949,0.0757
dti,"(28.6, 29.4]",0.0176,-0.333,0.002149,0.0757
dti,"(29.4, 30.2]",0.0158,-0.3607,0.002283,0.0757
dti,"(30.2, 31.0]",0.0132,-0.4549,0.003122,0.0757
dti,"(31.0, 31.8]",0.0122,-0.4408,0.002699,0.0757
dti,"(31.8, 32.6]",0.0113,-0.4526,0.002647,0.0757
dti,"(32.6, 33.4]",0.0103,-0.4916,0.002864,0.0757
dti,"(33.4, 34.2]",0.0096,-0.4871,0.00262,0.0757
dti,"(34.2, 35.0]",0.0088,-0.6067,0.00385,0.0757
dti,"(35.0, 35.8]",0.0044,-0.5892,0.001794,0.0757
dti,"(35.8, 36.6]",0.0042,-0.6339,0.002021,0.0757
dti,"(36.6, 37.4]",0.0039,-0.7141,0.002421,0.0757
dti,"(37.4, 38.2]",0.0035,-0.6599,0.00184,0.0757
dti,"(38.2, 39.0]",0.0032,-0.6472,0.001602,0.0757
emp_length_int,0.0,0.1333,-0.1636,0.003747,0.005
emp_length_int,1.0,0.0658,-0.0254,4.3e-05,0.005
emp_length_int,2.0,0.0902,0.0217,4.2e-05,0.005
emp_length_int,3.0,0.0797,0.0101,8e-06,0.005
emp_length_int,4.0,0.0596,0.015,1.3e-05,0.005
emp_length_int,5.0,0.0628,0.0248,3.8e-05,0.005
emp_length_int,6.0,0.0473,0.0259,3.1e-05,0.005
emp_length_int,7.0,0.0464,0.0207,2e-05,0.005
emp_length_int,8.0,0.0484,-0.0121,7e-06,0.005
emp_length_int,9.0,0.0389,-0.0165,1.1e-05,0.005
emp_length_int,10.0,0.3276,0.0574,0.001059,0.005
installment,"(3.366, 36.214]",0.0031,0.5298,0.000737,0.0363
installment,"(36.214, 67.497]",0.0122,0.503,0.00263,0.0363
installment,"(67.497, 98.781]",0.02,0.3715,0.002455,0.0363
installment,"(98.781, 130.064]",0.0276,0.2957,0.002199,0.0363
installment,"(130.064, 161.348]",0.0375,0.3886,0.005016,0.0363
installment,"(161.348, 192.632]",0.0525,0.2222,0.002416,0.0363
installment,"(192.632, 223.915]",0.0497,0.2498,0.002871,0.0363
installment,"(223.915, 255.199]",0.0535,0.1364,0.000954,0.0363
installment,"(255.199, 286.482]",0.0613,-0.0862,0.000468,0.0363
installment,"(286.482, 317.766]",0.0614,0.0599,0.000216,0.0363
installment,"(317.766, 349.05]",0.0729,-0.0567,0.000238,0.0363
installment,"(349.05, 380.333]",0.0529,-0.1129,0.000698,0.0363
installment,"(380.333, 411.617]",0.0502,-0.0836,0.000359,0.0363
installment,"(411.617, 442.9]",0.0338,-0.1696,0.001024,0.0363
installment,"(442.9, 474.184]",0.0416,-0.0326,4.5e-05,0.0363
installment,"(474.184, 505.468]",0.0479,-0.0569,0.000158,0.0363
installment,"(505.468, 536.751]",0.0342,-0.2302,0.00194,0.0363
installment,"(536.751, 568.035]",0.0301,-0.236,0.001799,0.0363
installment,"(568.035, 599.318]",0.0255,-0.2744,0.002078,0.0363
installment,"(599.318, 630.602]",0.0284,0.1157,0.000367,0.0363
installment,"(630.602, 661.886]",0.0263,-0.006,1e-06,0.0363
installment,"(661.886, 693.169]",0.0254,-0.1505,0.000602,0.0363
installment,"(693.169, 724.453]",0.015,-0.2036,0.000661,0.0363
installment,"(724.453, 755.736]",0.0158,0.0825,0.000105,0.0363
installment,"(755.736, 787.02]",0.018,0.1057,0.000195,0.0363
installment,"(787.02, 818.304]",0.0129,-0.0959,0.000123,0.0363
installment,"(818.304, 849.587]",0.0118,-0.1054,0.000135,0.0363
installment,"(849.587, 880.871]",0.0134,-0.012,2e-06,0.0363
installment,"(880.871, 912.154]",0.0082,-0.4016,0.001484,0.0363
installment,"(912.154, 943.438]",0.0074,-0.0792,4.7e-05,0.0363
installment,"(943.438, 974.722]",0.0067,-0.2401,0.000414,0.0363
installment,"(974.722, 1006.005]",0.0058,-0.1876,0.000217,0.0363
installment,"(1006.005, 1037.289]",0.0048,-0.2634,0.00036,0.0363
installment,"(1037.289, 1068.572]",0.0035,-0.3268,0.000412,0.0363
installment,"(1068.572, 1099.856]",0.0053,0.2828,0.000387,0.0363
installment,"(1099.856, 1131.14]",0.0041,0.4473,0.000722,0.0363
installment,"(1131.14, 1162.423]",0.0038,0.2156,0.000165,0.0363
