variable,bin,proportion,WoE,iv_contribution,IV
total_acc,8.0,0.0141,-0.0319,1.4e-05,0.0014
total_acc,9.0,0.0171,-0.0466,3.8e-05,0.0014
total_acc,10.0,0.0202,-0.0202,8e-06,0.0014
total_acc,11.0,0.023,-0.02,9e-06,0.0014
total_acc,12.0,0.0255,-0.0403,4.2e-05,0.0014
total_acc,13.0,0.0283,-0.0543,8.5e-05,0.0014
total_acc,14.0,0.03,-0.0341,3.5e-05,0.0014
total_acc,15.0,0.0317,-0.0308,3e-05,0.0014
total_acc,16.0,0.0332,-0.024,1.9e-05,0.0014
total_acc,17.0,0.0348,0.0063,1e-06,0.0014
total_acc,18.0,0.035,-0.0026,0.0,0.0014
total_acc,19.0,0.0356,-0.018,1.2e-05,0.0014
total_acc,20.0,0.0361,0.0082,2e-06,0.0014
total_acc,21.0,0.0361,-0.0009,0.0,0.0014
total_acc,22.0,0.036,0.0194,1.3e-05,0.0014
total_acc,23.0,0.0353,0.027,2.6e-05,0.0014
total_acc,24.0,0.0345,0.0082,2e-06,0.0014
total_acc,25.0,0.0334,-0.0024,0.0,0.0014
total_acc,26.0,0.0322,0.0316,3.2e-05,0.0014
total_acc,27.0,0.0308,0.0088,2e-06,0.0014
total_acc,28.0,0.029,0.0333,3.2e-05,0.0014
total_acc,29.0,0.0277,0.0173,8e-06,0.0014
total_acc,30.0,0.0263,0.0485,6.1e-05,0.0014
total_acc,31.0,0.0245,0.0239,1.4e-05,0.0014
total_acc,32.0,0.0233,0.0358,3e-05,0.0014
total_acc,33.0,0.0213,0.0191,8e-06,0.0014
total_acc,34.0,0.0199,0.0396,3.1e-05,0.0014
total_acc,35.0,0.0184,0.0337,2.1e-05,0.0014
total_acc,36.0,0.0171,0.0186,6e-06,0.0014
total_acc,37.0,0.0158,0.0487,3.7e-05,0.0014
total_acc,38.0,0.0141,0.019,5e-06,0.0014
total_acc,39.0,0.0132,0.0439,2.5e-05,0.0014
total_acc,40.0,0.0119,-0.029,1e-05,0.0014
total_acc,41.0,0.0109,-0.0039,0.0,0.0014
total_acc,42.0,0.0099,0.0239,6e-06,0.0014
total_acc,43.0,0.0089,0.0242,5e-06,0.0014
total_acc,44.0,0.0082,-0.0254,5e-06,0.0014
total_acc,45.0,0.0073,-0.0313,7e-06,0.0014
total_acc,46.0,0.0065,-0.0482,1.5e-05,0.0014
total_acc,47.0,0.006,-0.0003,0.0,0.0014
total_acc,48.0,0.0054,-0.0123,1e-06,0.0014
total_acc,49.0,0.0047,-0.005,0.0,0.0014
total_acc,50.0,0.0043,-0.018,1e-06,0.0014
total_acc,51.0,0.0038,-0.0626,1.5e-05,0.0014
total_acc,52.0,0.0033,0.0066,0.0,0.0014
total_acc,53.0,0.003,0.0062,0.0,0.0014
total_acc,54.0,0.0027,-0.0287,2e-06,0.0014
total_acc,55.0,0.0023,-0.0053,0.0,0.0014
total_acc,56.0,0.0021,-0.0111,0.0,0.0014
total_acc,57.0,0.0018,-0.1427,3.8e-05,0.0014
total_acc,58.0,0.0017,-0.0881,1.4e-05,0.0014
total_acc,59.0,0.0015,-0.0952,1.4e-05,0.0014
total_acc,60.0,0.0013,-0.2256,7.3e-05,0.0014
total_acc,61.0,0.0013,-0.0547,4e-06,0.0014
total_acc,62.0,0.0012,0.0208,1e-06,0.0014
total_acc,63.0,0.0019,0.046,4e-06,0.0014
total_acc,64.0,0.0007,-0.1935,2.7e-05,0.0014
total_acc,65.0,0.0006,-0.1166,8e-06,0.0014
total_acc,66.0,0.0005,-0.2046,2.2e-05,0.0014
total_acc,67.0,0.0004,-0.2227,2.4e-05,0.0014
total_acc,68.0,0.0004,0.0537,1e-06,0.0014
total_acc,69.0,0.0003,-0.3013,3.5e-05,0.0014
total_acc,70.0,0.0003,-0.3111,3.3e-05,0.0014
total_acc,71.0,0.0003,-0.2006,1.1e-05,0.0014
total_acc,72.0,0.0002,-0.3743,3.5e-05,0.0014
total_acc,73.0,0.0002,-0.0121,0.0,0.0014
total_acc,74.0,0.0002,-0.4438,4.7e-05,0.0014
total_acc,75.0,0.0002,-0.286,1.6e-05,0.0014
total_acc,76.0,0.0001,-0.4949,4e-05,0.0014
total_acc,77.0,0.0001,0.1703,4e-06,0.0014
total_acc,78.0,0.0001,-0.0511,0.0,0.0014
total_acc,79.0,0.0001,-0.466,2.9e-05,0.0014
total_acc,80.0,0.0001,-0.3494,1.3e-05,0.0014
total_acc,81.0,0.0001,-0.2266,6e-06,0.0014
total_acc,82.0,0.0001,-0.4904,1.8e-05,0.0014
total_acc,83.0,0.0001,-0.1382,2e-06,0.0014
total_acc,84.0,0.0001,-0.0422,0.0,0.0014
total_acc,85.0,0.0001,-0.0563,0.0,0.0014
total_acc,86.0,0.0,-0.1665,2e-06,0.0014
total_acc,87.0,0.0,-0.1561,2e-06,0.0014
total_acc,88.0,0.0,0.3041,4e-06,0.0014
total_acc,89.0,0.0,-0.4491,1.2e-05,0.0014
total_acc,90.0,0.0,0.1413,1e-06,0.0014
total_acc,91.0,0.0,0.0665,0.0,0.0014
total_acc,92.0,0.0,-0.3667,6e-06,0.0014
total_acc,93.0,0.0,-0.5876,1.5e-05,0.0014
total_acc,94.0,0.0,-0.3781,5e-06,0.0014
total_acc,95.0,0.0,-0.459,7e-06,0.0014
total_acc,96.0,0.0,-0.1701,1e-06,0.0014
total_acc,97.0,0.0,-0.503,7e-06,0.0014
total_acc,98.0,0.0,-0.7588,1.4e-05,0.0014
total_acc,99.0,0.0,-0.2967,2e-06,0.0014
total_acc,100.0,0.0,-0.5865,6e-06,0.0014
total_acc,101.0,0.0,-0.4714,5e-06,0.0014
total_acc,102.0,0.0,0.5258,5e-06,0.0014
total_acc,103.0,0.0,-0.1802,0.0,0.0014
total_acc,104.0,0.0,0.4531,3e-06,0.0014
total_acc,105.0,0.0,0.1511,0.0,0.0014
total_acc,106.0,0.0,-0.3691,2e-06,0.0014
total_acc,107.0,0.0,0.2026,1e-06,0.0014
total_acc,108.0,0.0,-0.5562,5e-06,0.0014
total_acc,109.0,0.0,-0.3691,2e-06,0.0014
total_acc,110.0,0.0,-0.5562,5e-06,0.0014
total_acc,111.0,0.0,-0.3691,2e-06,0.0014
total_acc,112.0,0.0,-0.091,0.0,0.0014
total_acc,113.0,0.0,-0.4583,3e-06,0.0014
total_acc,114.0,0.0,-0.2781,1e-06,0.0014
total_acc,115.0,0.0,0.1085,0.0,0.0014
total_acc,116.0,0.0,0.2956,1e-06,0.0014
total_acc,117.0,0.0,0.1085,0.0,0.0014
total_acc,118.0,0.0,-0.2781,1e-06,0.0014
total_acc,119.0,0.0,-0.2781,1e-06,0.0014
total_acc,120.0,0.0,0.1085,0.0,0.0014
total_acc,121.0,0.0,0.1085,0.0,0.0014
total_acc,124.0,0.0,-0.1802,0.0,0.0014
total_acc,125.0,0.0,0.1085,0.0,0.0014
total_acc,126.0,0.0,0.2064,0.0,0.0014
total_acc,129.0,0.0,0.1085,0.0,0.0014
total_acc,130.0,0.0,0.1085,0.0,0.0014
total_acc,133.0,0.0,0.1085,0.0,0.0014
total_acc,135.0,0.0,0.1085,0.0,0.0014
total_acc,137.0,0.0,-0.2781,1e-06,0.0014
total_acc,138.0,0.0,0.1085,0.0,0.0014
total_acc,140.0,0.0,0.1085,0.0,0.0014
total_acc,144.0,0.0,-0.3866,2e-06,0.0014
total_acc,146.0,0.0,0.1085,0.0,0.0014
total_acc,150.0,0.0,0.1085,0.0,0.0014
total_acc,151.0,0.0,-0.3866,2e-06,0.0014
total_acc,156.0,0.0,0.1085,0.0,0.0014
total_acc,162.0,0.0,0.1085,0.0,0.0014
total_acc,169.0,0.0,-0.3866,2e-06,0.0014
total_acc,173.0,0.0,-0.3866,2e-06,0.0014
total_acc,176.0,0.0,-0.3866,2e-06,0.0014
open_acc,0.0,0.0,0.0048,0.0,0.0083
open_acc,1.0,0.0003,0.2309,1.4e-05,0.0083
open_acc,2.0,0.0032,0.1251,4.8e-05,0.0083
open_acc,3.0,0.0112,0.1854,0.000364,0.0083
open_acc,4.0,0.0267,0.1569,0.000626,0.0083
open_acc,5.0,0.0453,0.1516,0.000993,0.0083
open_acc,6.0,0.0632,0.1127,0.000776,0.0083
open_acc,7.0,0.0767,0.0836,0.000522,0.0083
open_acc,8.0,0.0858,0.0692,0.000402,0.0083
open_acc,9.0,0.0897,0.0326,9.4e-05,0.0083
open_acc,10.0,0.0875,0.0116,1.2e-05,0.0083
open_acc,11.0,0.0806,-0.0168,2.3e-05,0.0083
open_acc,12.0,0.0723,-0.0299,6.5e-05,0.0083
open_acc,13.0,0.0631,-0.0354,8e-05,0.0083
open_acc,14.0,0.0535,-0.0482,0.000126,0.0083
open_acc,15.0,0.0447,-0.062,0.000175,0.0083
open_acc,16.0,0.0376,-0.069,0.000183,0.0083
open_acc,17.0,0.0309,-0.0705,0.000157,0.0083
open_acc,18.0,0.0253,-0.0862,0.000193,0.0083
open_acc,19.0,0.0207,-0.0976,0.000204,0.0083
open_acc,20.0,0.0165,-0.1237,0.000263,0.0083
open_acc,21.0,0.0132,-0.1108,0.000168,0.0083
open_acc,22.0,0.0108,-0.1349,0.000204,0.0083
open_acc,23.0,0.0086,-0.1776,0.000285,0.0083
open_acc,24.0,0.0069,-0.1703,0.00021,0.0083
open_acc,25.0,0.0054,-0.1892,0.000206,0.0083
open_acc,26.0,0.0041,-0.2197,0.00021,0.0083
open_acc,27.0,0.0033,-0.241,0.000209,0.0083
open_acc,28.0,0.0026,-0.2567,0.000183,0.0083
open_acc,29.0,0.0021,-0.3043,0.000209,0.0083
open_acc,30.0,0.0016,-0.2615,0.000121,0.0083
open_acc,31.0,0.0013,-0.2698,0.000101,0.0083
open_acc,32.0,0.0011,-0.2399,6.7e-05,0.0083
open_acc,33.0,0.0009,-0.3146,0.0001,0.0083
open_acc,34.0,0.0007,-0.4416,0.000149,0.0083
open_acc,35.0,0.0005,-0.309,5.8e-05,0.0083
open_acc,36.0,0.0004,-0.31,4.7e-05,0.0083
open_acc,37.0,0.0003,-0.2624,2.6e-05,0.0083
open_acc,38.0,0.0003,-0.4619,7.7e-05,0.0083
open_acc,39.0,0.0002,-0.3051,2.6e-05,0.0083
open_acc,40.0,0.0002,-0.4313,3.6e-05,0.0083
open_acc,41.0,0.0002,-0.2854,1.5e-05,0.0083
open_acc,42.0,0.0001,-0.6422,7.3e-05,0.0083
open_acc,43.0,0.0001,-0.5828,4.3e-05,0.0083
open_acc,44.0,0.0001,-0.8117,6.8e-05,0.0083
open_acc,45.0,0.0001,-0.0754,0.0,0.0083
open_acc,46.0,0.0001,-0.0069,0.0,0.0083
open_acc,47.0,0.0,-0.2823,4e-06,0.0083
open_acc,48.0,0.0,-0.3667,6e-06,0.0083
open_acc,49.0,0.0,-0.5179,1.2e-05,0.0083
open_acc,50.0,0.0,-0.5631,1.2e-05,0.0083
open_acc,51.0,0.0,-0.5021,9e-06,0.0083
open_acc,52.0,0.0,-0.9108,3.4e-05,0.0083
open_acc,53.0,0.0,-0.4309,6e-06,0.0083
open_acc,54.0,0.0,0.3772,3e-06,0.0083
open_acc,55.0,0.0,0.6509,6e-06,0.0083
open_acc,56.0,0.0,0.6509,6e-06,0.0083
open_acc,57.0,0.0,-0.6757,8e-06,0.0083
open_acc,58.0,0.0,-0.1413,0.0,0.0083
open_acc,59.0,0.0,-0.3691,2e-06,0.0083
open_acc,60.0,0.0,-0.3691,2e-06,0.0083
open_acc,61.0,0.0,-0.2873,1e-06,0.0083
open_acc,62.0,0.0,0.2064,0.0,0.0083
open_acc,63.0,0.0,0.2064,0.0,0.0083
open_acc,64.0,0.0,0.1085,0.0,0.0083
open_acc,65.0,0.0,0.2064,0.0,0.0083
open_acc,66.0,0.0,0.1085,0.0,0.0083
open_acc,67.0,0.0,-0.3866,2e-06,0.0083
open_acc,68.0,0.0,-0.3866,2e-06,0.0083
open_acc,70.0,0.0,0.1085,0.0,0.0083
open_acc,71.0,0.0,0.1085,0.0,0.0083
open_acc,74.0,0.0,-0.2781,1e-06,0.0083
open_acc,75.0,0.0,-0.3866,2e-06,0.0083
open_acc,76.0,0.0,-0.6647,6e-06,0.0083
open_acc,77.0,0.0,0.1085,0.0,0.0083
open_acc,79.0,0.0,0.1085,0.0,0.0083
open_acc,80.0,0.0,0.1085,0.0,0.0083
open_acc,81.0,0.0,0.1085,0.0,0.0083
open_acc,82.0,0.0,0.1085,0.0,0.0083
open_acc,84.0,0.0,0.1085,0.0,0.0083
open_acc,90.0,0.0,0.1085,0.0,0.0083
int_rate,"(5.294, 5.833]",0.0213,1.9109,0.041665,0.4753
int_rate,"(5.833, 6.347]",0.0194,1.9878,0.039961,0.4753
int_rate,"(6.347, 6.86]",0.0199,1.555,0.028924,0.4753
int_rate,"(6.86, 7.374]",0.0316,1.392,0.038715,0.4753
int_rate,"(7.374, 7.887]",0.0246,1.2286,0.024805,0.4753
int_rate,"(7.887, 8.4]",0.0686,0.9142,0.042592,0.4753
int_rate,"(8.4, 8.914]",0.0188,0.9335,0.012058,0.4753
int_rate,"(8.914, 9.427]",0.0361,0.6402,0.012042,0.4753
int_rate,"(9.427, 9.941]",0.0277,0.5516,0.007062,0.4753
int_rate,"(9.941, 10.454]",0.0289,0.629,0.009353,0.4753
int_rate,"(10.454, 10.967]",0.0248,0.3172,0.002263,0.4753
int_rate,"(10.967, 11.481]",0.059,0.3846,0.007724,0.4753
int_rate,"(11.481, 11.994]",0.0575,0.2357,0.002966,0.4753
int_rate,"(11.994, 12.508]",0.042,0.2753,0.002924,0.4753
int_rate,"(12.508, 13.021]",0.0539,-0.0112,7e-06,0.4753
int_rate,"(13.021, 13.534]",0.0439,-0.012,6e-06,0.4753
int_rate,"(13.534, 14.048]",0.0512,-0.1825,0.001802,0.4753
int_rate,"(14.048, 14.561]",0.042,-0.1193,0.000619,0.4753
int_rate,"(14.561, 15.075]",0.0284,-0.2266,0.001558,0.4753
int_rate,"(15.075, 15.588]",0.0201,-0.1723,0.00063,0.4753
int_rate,"(15.588, 16.101]",0.04,-0.3114,0.004253,0.4753
int_rate,"(16.101, 16.615]",0.0316,-0.4541,0.007414,0.4753
int_rate,"(16.615, 17.128]",0.021,-0.5121,0.006376,0.4753
int_rate,"(17.128, 17.642]",0.027,-0.5639,0.010055,0.4753
int_rate,"(17.642, 18.155]",0.0175,-0.6492,0.008804,0.4753
int_rate,"(18.155, 18.668]",0.0266,-0.7056,0.01604,0.4753
int_rate,"(18.668, 19.182]",0.0177,-0.6906,0.010187,0.4753
int_rate,"(19.182, 19.695]",0.0152,-0.7808,0.011431,0.4753
int_rate,"(19.695, 20.209]",0.0154,-0.8829,0.015125,0.4753
int_rate,"(20.209, 20.722]",0.0051,-0.627,0.002404,0.4753
int_rate,"(20.722, 21.235]",0.0115,-0.9303,0.012636,0.4753
int_rate,"(21.235, 21.749]",0.0058,-0.8396,0.005084,0.4753
int_rate,"(21.749, 22.262]",0.0069,-0.9959,0.008804,0.4753
int_rate,"(22.262, 22.776]",0.0056,-0.9867,0.00701,0.4753
int_rate,"(22.776, 23.289]",0.0054,-1.1572,0.009516,0.4753
int_rate,"(23.289, 23.802]",0.0039,-0.7988,0.00312,0.4753
int_rate,"(23.802, 24.316]",0.0053,-1.2081,0.010336,0.4753
int_rate,"(24.316, 24.829]",0.0033,-1.0691,0.004974,0.4753
int_rate,"(24.829, 25.343]",0.0051,-1.3351,0.012255,0.4753
int_rate,"(25.343, 25.856]",0.0038,-1.292,0.008629,0.4753
int_rate,"(25.856, 26.369]",0.0019,-1.4535,0.005494,0.4753
int_rate,"(26.369, 26.883]",0.0011,-1.6229,0.004206,0.4753
int_rate,"(26.883, 27.396]",0.001,-1.604,0.003563,0.4753
int_rate,"(27.396, 27.91]",0.0008,-1.6969,0.00318,0.4753
int_rate,"(27.91, 28.423]",0.0006,-1.6135,0.00208,0.4753
int_rate,"(28.423, 28.936]",0.0005,-1.7254,0.001942,0.4753
int_rate,"(28.936, 29.45]",0.0002,-1.854,0.00113,0.4753
int_rate,"(29.45, 29.963]",0.0003,-1.6899,0.001093,0.4753
int_rate,"(29.963, 30.477]",0.0,-0.6061,1.3e-05,0.4753
int_rate,"(30.477, 30.99]",0.0001,-1.598,0.000518,0.4753
term,36,0.7593,0.2951,0.060264,0.2035
term,60,0.2407,-0.7015,0.143269,0.2035
purpose,small_business,0.0118,-0.496,0.00334,0.0201
purpose,renewable_energy,0.0007,-0.2216,3.6e-05,0.0201
purpose,moving,0.0067,-0.1878,0.000249,0.0201
purpose,house,0.0045,-0.1669,0.000131,0.0201
purpose,medical,0.0105,-0.1044,0.000118,0.0201
purpose,debt_consolidation,0.5858,-0.0767,0.003526,0.0201
purpose,educational,0.0004,-0.0764,2e-06,0.0201
purpose,other,0.053,-0.0642,0.000223,0.0201
purpose,vacation,0.006,0.0439,1.1e-05,0.0201
purpose,major_purchase,0.0208,0.1355,0.000366,0.0201
purpose,home_improvement,0.0617,0.141,0.001174,0.0201
purpose,credit_card,0.2257,0.2076,0.009115,0.0201
purpose,car,0.0105,0.3661,0.001254,0.0201
purpose,wedding,0.0022,0.5376,0.000529,0.0201
initial_list_status,w,0.5386,-0.0234,0.000297,0.0006
initial_list_status,f,0.4614,0.0277,0.000352,0.0006
addr_state,NE,0.0021,-0.3552,0.000297,0.0149
addr_state,MS,0.0046,-0.3177,0.000514,0.0149
addr_state,AL,0.0124,-0.2308,0.000709,0.0149
addr_state,AR,0.0075,-0.227,0.000415,0.0149
addr_state,OK,0.0091,-0.2089,0.000425,0.0149
addr_state,LA,0.0117,-0.1716,0.000363,0.0149
addr_state,NV,0.0145,-0.144,0.000314,0.0149
addr_state,TN,0.0149,-0.1184,0.000216,0.0149
addr_state,SD,0.0021,-0.1098,2.6e-05,0.0149
addr_state,NY,0.0827,-0.1035,0.000915,0.0149
addr_state,IN,0.0158,-0.1014,0.000167,0.0149
addr_state,NM,0.0056,-0.0894,4.6e-05,0.0149
addr_state,MO,0.0159,-0.0829,0.000112,0.0149
addr_state,FL,0.0702,-0.0823,0.000488,0.0149
addr_state,KY,0.0095,-0.0768,5.8e-05,0.0149
addr_state,MD,0.0232,-0.0742,0.000131,0.0149
addr_state,ND,0.001,-0.073,5e-06,0.0149
addr_state,IA,0.0,-0.0662,0.0,0.0149
addr_state,NJ,0.0368,-0.0636,0.000152,0.0149
addr_state,OH,0.0331,-0.0636,0.000136,0.0149
addr_state,PA,0.0342,-0.0606,0.000128,0.0149
addr_state,NC,0.0279,-0.0566,9.1e-05,0.0149
addr_state,ID,0.0007,-0.056,2e-06,0.0149
addr_state,HI,0.0051,-0.0389,8e-06,0.0149
addr_state,MI,0.0261,-0.0127,4e-06,0.0149
addr_state,VA,0.0287,-0.0097,3e-06,0.0149
addr_state,DE,0.0028,-0.0068,0.0,0.0149
addr_state,MN,0.0178,-0.0002,0.0,0.0149
addr_state,AZ,0.0237,0.01,2e-06,0.0149
addr_state,TX,0.0815,0.0212,3.6e-05,0.0149
addr_state,AK,0.0025,0.0232,1e-06,0.0149
addr_state,CA,0.1467,0.0309,0.000138,0.0149
addr_state,MA,0.023,0.0779,0.000137,0.0149
addr_state,GA,0.0325,0.0972,0.000298,0.0149
addr_state,RI,0.0043,0.1065,4.8e-05,0.0149
addr_state,IL,0.0392,0.1198,0.000543,0.0149
addr_state,UT,0.0072,0.1208,0.000101,0.0149
addr_state,WI,0.0131,0.1489,0.000278,0.0149
addr_state,CT,0.0148,0.1659,0.000387,0.0149
addr_state,MT,0.0029,0.1817,9e-05,0.0149
addr_state,WY,0.0023,0.1876,7.6e-05,0.0149
addr_state,SC,0.0118,0.2136,0.000505,0.0149
addr_state,KS,0.0086,0.2248,0.000405,0.0149
addr_state,WV,0.0042,0.2476,0.000238,0.0149
addr_state,WA,0.0217,0.2505,0.001257,0.0149
addr_state,CO,0.0215,0.2771,0.001514,0.0149
addr_state,ME,0.0011,0.3391,0.00012,0.0149
addr_state,OR,0.0122,0.3676,0.001466,0.0149
addr_state,NH,0.0048,0.3901,0.000641,0.0149
addr_state,VT,0.002,0.4264,0.000315,0.0149
addr_state,DC,0.0027,0.503,0.000582,0.0149
